ticker,rsi_score,vol_score,liq_score,overall_score
DSN,97.37,99.2,79.29,95.06
RAL,70.82,95.54,92.33,92.73
NTC,76.66,92.68,99.54,92.64
NCT,62.7,96.34,90.62,92.25
MCH,83.18,91.53,95.31,91.56
DP3,77.12,96.91,70.37,89.87
PHR,89.02,90.62,82.27,88.81
SHP,97.25,96.11,58.92,88.78
FOX,60.98,94.85,78.6,88.63
CHP,91.53,91.42,74.49,88.04
VJC,70.14,87.87,95.42,87.83
TCL,86.96,97.71,51.49,87.53
VPI,44.74,95.08,77.69,87.19
VIC,78.95,89.24,80.55,86.6
VCS,30.55,93.14,87.41,86.5
SBA,74.71,93.59,62.24,85.67
QNS,58.58,93.94,67.73,85.6
VSH,92.68,85.24,83.41,85.53
TCM,7.67,96.68,79.41,85.42
SNZ,65.1,91.76,70.25,85.12
CDC,46.0,97.03,59.27,85.0
EID,79.18,98.17,37.99,84.47
BMI,52.52,96.45,53.32,83.98
PGC,89.59,95.88,37.64,83.69
FPT,64.76,84.1,89.24,83.43
MPC,46.22,95.31,57.21,83.39
TLG,72.54,83.07,88.9,83.31
VLB,79.86,87.3,69.91,83.17
ACB,93.02,94.97,36.04,83.02
IDV,51.37,95.42,52.4,82.96
